Anio;Nivel;rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;palu_eda_insuficiente_lect2m_rbd;palu_eda_insuficiente_mate2m_rbd;total_profesores;total_hh;total_prioritarios;total_beneficiarios;total_matriculados;promedio_asistencia;latitud;longitud;pago_mensual
2022;2m;4324;9;LICEO DOCTOR VÍCTOR RÍOS RUIZ;8;DEL BIOBÍO;83;BIOBÍO;8302;ANTUCO;2;1;2;1;259;242;30,8;59,6;45;1763;77;77;545;85,08896797;-37,332001;-71,677879;GRATUITO
2022;2m;4331;1;LICEO BICENTENARIO FRANCISCO BASCUNAN GUERRERO;8;DEL BIOBÍO;83;BIOBÍO;8309;QUILLECO;2;1;1;1;234;221;66,7;83,8;50;1938;123;123;559;80,14327485;-37,467651;-71,981171;GRATUITO
2022;2m;4333;8;LICEO ISABEL RIQUELME;8;DEL BIOBÍO;83;BIOBÍO;8309;QUILLECO;2;1;2;1;225;217;69,2;78,6;35;1279;91;91;384;85,47598253;-37,402241;-72,011917;GRATUITO
2022;2m;4353;2;LICEO CARDENAL ANTONIO SAMORE;8;DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;2;1;1;1;239;223;59,3;76,7;39;1411;57;55;391;82,89538462;-37,66568;-72,033081;GRATUITO
2022;2m;4382;6;COLEGIO SANTA BARBARA;8;DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;3;2;2;1;234;223;60,7;78,6;32;1228;158;158;613;89,28450704;-37,66711;-72,021347;GRATUITO
2022;2m;4392;3;LICEO BICENTENARIO VALLE DEL SOL QUILACO;8;DEL BIOBÍO;83;BIOBÍO;8308;QUILACO;2;1;2;1;228;249;57,1;42,9;41;1596;58;58;442;88,17586207;-37,684052;-72,001701;GRATUITO
2022;2m;4404;0;LICEO MIGUEL ÁNGEL CERDA LEIVA;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;2;1;2;1;249;251;44,3;54,2;54;2198;214;214;622;92,85849057;-37,71909;-72,244713;GRATUITO
2022;2m;4408;3;LICEO CRISOL;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;2;1;1;1;223;219;70,4;79,3;53;2046;73;73;546;88,57142857;-37,719139;-72,234833;GRATUITO
2022;2m;4446;6;LICEO POLIVALENTE LA FRONTERA;8;DEL BIOBÍO;83;BIOBÍO;8307;NEGRETE;2;1;1;1;223;236;66;62,3;88;3424;177;177;1048;92,98344371;-37,58379;-72,532333;GRATUITO
2022;2m;4451;2;LICEO POLIVALENTE MUNICIPAL DE NACIMIENTO;8;DEL BIOBÍO;83;BIOBÍO;8306;NACIMIENTO;2;1;1;1;235;242;56,2;55,1;76;3057;257;254;945;85,67627785;-37,506809;-72,672203;GRATUITO
